NA,Date,AirPressure_22m_hPa,AccumulatedPrecipitation_mm,WindSpeed_22m_ms,WindSpeed_16.3m_ms,WindSpeed_12.3m_ms,WindSpeed_2.3m_ms,WindDirection_22m_deg,AirHumidity_22m_percent,AirHumidity_16.3m_percent,AirHumidity_12.3m_percent,AirHumidity_8.1m_percent,AirHumidity_2.3m_percent,AirHumidity_0.9m_percent,AirTemperature_22m_degC,AirTemperature_16.3m_degC,AirTemperature_12.3m_degC,AirTemperature_8.1m_degC,AirTemperature_2.3m_degC,AirTemperature_0.9m_degC,VPD_22m_hPa,VPD_16.3m_hPa,VPD_12.3m_hPa,VPD_8.1m_hPa,VPD_2.3m_hPa,VPD_0.9m_hPa,PAR_incoming_22m_umol_m2_s1,PAR_reflected_22m_umol_m2_s1,ShortWaveRadiation_incoming_22m_Wm2,ShortWaveRadiation_reflected_22m_Wm2,LongWaveRadiation_downwelling_22m_Wm2,LongWaveRadiation_upwelling_22m_Wm2,GlobalRadiation_22m_Wm2,DiffuseRadiation_22m_Wm2,Fraction_of_DiffuseRadiation,SunshineDuration_minutes_per_12hours,SoilTemperature_30cm_degC,SoilTemperature_60cm_degC,SoilTemperature_100cm_degC,SoilMoisture_30cm_percent,SoilMoisture_60cm_percent,SoilMoisture_100cm_percent,NEE_umol_m2_s1,LatentHeatFlux_Wm2,SensibleHeatFlux_Wm2,GroundHeatFlux_Wm2,CO2_concentration,Year,Month,Day,season,ET_ET_pot
339,04/02/2015,1006.3,NA,3.583166667,3.16975,2.641833333,0.643541667,0,68.84166667,68.40833333,64.9125,72.2125,76.94166667,73.6875,28.9125,29.52916667,30.475,29.09583333,28.7,28.975,12.47466848,13.09418972,15.34784539,11.23946643,9.115524826,10.56859872,1493.130292,54.206875,687.7995417,104.6882917,-48.12554167,-12.162625,692.96025,422.7603333,0.614711049,14.2625,26.25833334,26.775,26.9375,28.69166667,29.8625,27.08194444,-18.27695648,340.5,71.894875,27.14891667,378.7831276,2015,2,4,pre_drought_pre_enzo,0.497220546
340,05/02/2015,1005.370834,NA,3.391041667,3.000708333,2.48,0.529041667,202.2708333,87.02916666,85.89583333,81.275,89.02083333,91.27916667,86.65416667,26.325,26.91666667,27.79583333,26.58333333,26.5875,27.05416667,4.613471671,5.215084004,7.285943065,4.002278191,3.179088317,4.902957571,823.5408333,32.97858333,392.2976667,61.01645833,-22.43504167,-4.941166666,384.83025,308.0519583,0.84709254,4.5125,26.47083334,26.80833333,26.95138889,28.48611111,29.76666667,27.00277778,-11.63528741,174.452625,64.8081,19.61975001,378.6126134,2015,2,5,pre_drought_pre_enzo,0.493263936
341,06/02/2015,1006.2625,NA,1.556,1.405083333,1.202875,0.300916667,275.7291667,88.35,86.22916667,81.02083333,92.40416667,96.42083333,91.62916667,26.25416667,27.05833333,28.1125,26.09583334,25.925,26.44166667,4.058813526,5.017324979,7.325375877,2.63584781,1.242804863,2.933099075,735.4947499,30.76695833,356.8610417,56.443875,-19.83745833,-2.769916666,350.3329167,344.6890834,0.988252609,0.15,26.37361111,26.80138889,26.93888889,28.36666667,29.675,26.96666667,-4.367609613,157.308375,50.024,22.10725001,549.2030193,2015,2,6,pre_drought_pre_enzo,0.55710335
342,07/02/2015,1005.691667,NA,2.052541667,1.820541667,1.538541667,0.357083334,229.1166667,88.1875,86.73333334,81.3,91.06666667,93.65833333,88.40416667,25.82916667,26.49166667,27.49583333,25.83333333,25.82916667,26.45,4.01978198,4.673521626,6.935415967,3.030772152,2.148252012,4.039321957,627.95975,21.54929167,300.495375,47.16208333,-18.70425,-5.134875,293.64175,290.555375,0.989022528,0,26.34166667,26.5625,26.875,28.66666667,29,26.90555556,-6.319104413,30.486675,39.157375,19.81975001,NA,2015,2,7,pre_drought_pre_enzo,0.120151157
343,08/02/2015,1004.958333,NA,2.177041667,1.92175,1.61025,0.120708333,239.2166667,85.18333333,83.5,76.22083333,88.00833333,90.025,85.52916667,26.62083334,27.34583333,28.15,26.67083333,26.7625,27.325,5.397665647,6.259844949,9.454507113,4.379287909,3.654740822,5.43999817,749.6694583,27.470125,365.1075833,56.870625,-22.63129167,-7.996625,350.2099583,333.610625,0.954999465,0.825,26.30277778,26.52083333,26.88333333,28.75972222,28.97708333,26.90416667,-7.603989438,98.9062125,40.2491625,23.79891668,NA,2015,2,8,pre_drought_pre_enzo,0.361515149
344,09/02/2015,1005.245833,NA,3.534458333,3.132125,2.587291667,0.488416667,181.0166667,79.60833333,79.5625,76.375,79.49583333,85.72916667,82.59166667,27.2375,27.59166667,28.28333333,28.06666667,27.29166667,27.45416667,7.393918563,7.563389307,9.109465406,7.855984974,5.193941376,6.390320135,1036.63875,40.500125,491.6952917,75.90445833,-28.985875,-8.722083333,480.3472084,400.13075,0.840908979,5,26.22222223,26.4,26.68333334,29.42777778,29,27.30555556,-3.525054625,214.0955,62.4074,24.97564874,NA,2015,2,9,pre_drought_pre_enzo,0.48559914
345,10/02/2015,1005.05,NA,3.179333333,2.819708333,2.357166667,0.472791667,274.6083333,74.40833333,73.42083333,70.65,79.00833333,82.82083333,78.52083334,28.07916667,28.75,29.525,28.1875,28.1875,28.725,9.778525415,10.5554304,12.18115003,8.086358092,6.634353697,8.5509094,1213.192333,40.05758333,565.7400417,85.75870833,-40.973375,-11.39508333,562.0375833,344.5869167,0.631162916,13.7125,26.39722222,26.58333333,26.85,29.18472222,29,27.17361111,-14.96197996,197.715125,56.79975,28.43225001,370.0568405,2015,2,10,pre_drought_pre_enzo,0.367478944
346,11/02/2015,1004.566667,NA,3.084,2.764458333,2.334,0.49925,288.2625,67.325,66.15,63.80833333,71.44583333,75.19583333,71.05833333,28.56666667,29.39166667,30.25416667,28.8875,28.84166667,29.48333334,12.86858704,13.9949987,15.70801644,11.46164745,9.948861652,12.05725932,1656.179458,56.785625,757.6977917,113.2782917,-59.54358333,-14.29641667,768.3830833,349.8673333,0.469179062,22.075,26.61666667,26.86666667,26.88472222,28.52777778,29.00416667,27.06666667,-18.58157318,326.4175,90.6371125,28.87391667,377.4789181,2015,2,11,pre_drought_pre_enzo,0.430547393
347,12/02/2015,1003.6875,NA,3.045916667,2.707666667,2.283166667,0.550583333,311.1291667,73.00416667,72.34166667,69.6875,77.59166667,81.12916667,76.6125,28.325,28.95416667,29.72916667,28.32083333,28.3125,28.92916667,10.42506649,11.07378256,12.68770735,8.645959936,7.282916683,9.355332006,1211.3765,47.18266667,572.934,89.41604167,-40.63895833,-11.91783333,564.251,416.2024583,0.780324386,9.8375,26.75,26.94722222,26.92222222,28.73888889,28.9,26.92916667,-15.29984293,220.40375,57.1048,28.36975001,367.9318843,2015,2,12,pre_drought_pre_enzo,0.418110236
348,13/02/2015,1003.770833,NA,2.503083333,2.24425,1.903458333,0.438166667,262.85,81.1625,79.7375,76.26666667,84.50833334,87.14583333,81.67083333,27.18333334,27.925,28.77083334,27.34166667,27.4,28.125,6.865273313,7.732774208,9.521094169,5.721390848,4.773870228,7.090026687,938.3939583,38.58404167,458.7079167,72.22929166,-30.11983333,-10.16141667,431.208,364.270875,0.897516564,4.05,26.77777778,26.99027778,26.98472222,28.61527778,28.85694444,26.85277778,-11.16502579,187.013,51.60075,23.46141667,364.2078809,2015,2,13,pre_drought_pre_enzo,0.434459706
